=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított
Meccsek száma: 100
Játék 1/100 kész, eddig: Kezdő=1, Második=0, Döntetlen=0
Játék 2/100 kész, eddig: Kezdő=1, Második=1, Döntetlen=0
Játék 3/100 kész, eddig: Kezdő=1, Második=2, Döntetlen=0
Játék 4/100 kész, eddig: Kezdő=1, Második=3, Döntetlen=0
Játék 5/100 kész, eddig: Kezdő=1, Második=4, Döntetlen=0
Játék 6/100 kész, eddig: Kezdő=2, Második=4, Döntetlen=0
Játék 7/100 kész, eddig: Kezdő=3, Második=4, Döntetlen=0
Játék 8/100 kész, eddig: Kezdő=3, Második=5, Döntetlen=0
Játék 9/100 kész, eddig: Kezdő=3, Második=6, Döntetlen=0
Játék 10/100 kész, eddig: Kezdő=3, Második=7, Döntetlen=0
Játék 11/100 kész, eddig: Kezdő=4, Második=7, Döntetlen=0
Játék 12/100 kész, eddig: Kezdő=4, Második=8, Döntetlen=0
Játék 13/100 kész, eddig: Kezdő=5, Második=8, Döntetlen=0
Játék 14/100 kész, eddig: Kezdő=6, Második=8, Döntetlen=0
Játék 15/100 kész, eddig: Kezdő=7, Második=8, Döntetlen=0
Játék 16/100 kész, eddig: Kezdő=8, Második=8, Döntetlen=0
Játék 17/100 kész, eddig: Kezdő=9, Második=8, Döntetlen=0
Játék 18/100 kész, eddig: Kezdő=9, Második=9, Döntetlen=0
Játék 19/100 kész, eddig: Kezdő=9, Második=10, Döntetlen=0
Játék 20/100 kész, eddig: Kezdő=9, Második=11, Döntetlen=0
Játék 21/100 kész, eddig: Kezdő=10, Második=11, Döntetlen=0
Játék 22/100 kész, eddig: Kezdő=10, Második=12, Döntetlen=0
Játék 23/100 kész, eddig: Kezdő=10, Második=13, Döntetlen=0
Játék 24/100 kész, eddig: Kezdő=11, Második=13, Döntetlen=0
Játék 25/100 kész, eddig: Kezdő=12, Második=13, Döntetlen=0
Játék 26/100 kész, eddig: Kezdő=13, Második=13, Döntetlen=0
Játék 27/100 kész, eddig: Kezdő=14, Második=13, Döntetlen=0
Játék 28/100 kész, eddig: Kezdő=15, Második=13, Döntetlen=0
Játék 29/100 kész, eddig: Kezdő=15, Második=14, Döntetlen=0
Játék 30/100 kész, eddig: Kezdő=16, Második=14, Döntetlen=0
Játék 31/100 kész, eddig: Kezdő=16, Második=15, Döntetlen=0
Játék 32/100 kész, eddig: Kezdő=16, Második=16, Döntetlen=0
Játék 33/100 kész, eddig: Kezdő=16, Második=17, Döntetlen=0
Játék 34/100 kész, eddig: Kezdő=16, Második=18, Döntetlen=0
Játék 35/100 kész, eddig: Kezdő=16, Második=19, Döntetlen=0
Játék 36/100 kész, eddig: Kezdő=16, Második=20, Döntetlen=0
Játék 37/100 kész, eddig: Kezdő=17, Második=20, Döntetlen=0
Játék 38/100 kész, eddig: Kezdő=18, Második=20, Döntetlen=0
Játék 39/100 kész, eddig: Kezdő=19, Második=20, Döntetlen=0
Játék 40/100 kész, eddig: Kezdő=20, Második=20, Döntetlen=0
Játék 41/100 kész, eddig: Kezdő=21, Második=20, Döntetlen=0
Játék 42/100 kész, eddig: Kezdő=21, Második=21, Döntetlen=0
Játék 43/100 kész, eddig: Kezdő=22, Második=21, Döntetlen=0
Játék 44/100 kész, eddig: Kezdő=23, Második=21, Döntetlen=0
Játék 45/100 kész, eddig: Kezdő=23, Második=22, Döntetlen=0
Játék 46/100 kész, eddig: Kezdő=23, Második=23, Döntetlen=0
Játék 47/100 kész, eddig: Kezdő=23, Második=24, Döntetlen=0
Játék 48/100 kész, eddig: Kezdő=23, Második=25, Döntetlen=0
Játék 49/100 kész, eddig: Kezdő=23, Második=26, Döntetlen=0
Játék 50/100 kész, eddig: Kezdő=24, Második=26, Döntetlen=0
Játék 51/100 kész, eddig: Kezdő=25, Második=26, Döntetlen=0
Játék 52/100 kész, eddig: Kezdő=26, Második=26, Döntetlen=0
Játék 53/100 kész, eddig: Kezdő=26, Második=27, Döntetlen=0
Játék 54/100 kész, eddig: Kezdő=27, Második=27, Döntetlen=0
Játék 55/100 kész, eddig: Kezdő=27, Második=28, Döntetlen=0
Játék 56/100 kész, eddig: Kezdő=27, Második=29, Döntetlen=0
Játék 57/100 kész, eddig: Kezdő=27, Második=30, Döntetlen=0
Játék 58/100 kész, eddig: Kezdő=28, Második=30, Döntetlen=0
Játék 59/100 kész, eddig: Kezdő=28, Második=31, Döntetlen=0
Játék 60/100 kész, eddig: Kezdő=29, Második=31, Döntetlen=0
Játék 61/100 kész, eddig: Kezdő=30, Második=31, Döntetlen=0
Játék 62/100 kész, eddig: Kezdő=30, Második=32, Döntetlen=0
Játék 63/100 kész, eddig: Kezdő=30, Második=33, Döntetlen=0
Játék 64/100 kész, eddig: Kezdő=31, Második=33, Döntetlen=0
Játék 65/100 kész, eddig: Kezdő=31, Második=34, Döntetlen=0
Játék 66/100 kész, eddig: Kezdő=32, Második=34, Döntetlen=0
Játék 67/100 kész, eddig: Kezdő=32, Második=35, Döntetlen=0
Játék 68/100 kész, eddig: Kezdő=32, Második=36, Döntetlen=0
Játék 69/100 kész, eddig: Kezdő=32, Második=37, Döntetlen=0
Játék 70/100 kész, eddig: Kezdő=32, Második=38, Döntetlen=0
Játék 71/100 kész, eddig: Kezdő=32, Második=39, Döntetlen=0
Játék 72/100 kész, eddig: Kezdő=33, Második=39, Döntetlen=0
Játék 73/100 kész, eddig: Kezdő=34, Második=39, Döntetlen=0
Játék 74/100 kész, eddig: Kezdő=35, Második=39, Döntetlen=0
Játék 75/100 kész, eddig: Kezdő=36, Második=39, Döntetlen=0
Játék 76/100 kész, eddig: Kezdő=36, Második=40, Döntetlen=0
Játék 77/100 kész, eddig: Kezdő=36, Második=41, Döntetlen=0
Játék 78/100 kész, eddig: Kezdő=36, Második=42, Döntetlen=0
Játék 79/100 kész, eddig: Kezdő=36, Második=43, Döntetlen=0
Játék 80/100 kész, eddig: Kezdő=37, Második=43, Döntetlen=0
Játék 81/100 kész, eddig: Kezdő=37, Második=44, Döntetlen=0
Játék 82/100 kész, eddig: Kezdő=37, Második=45, Döntetlen=0
Játék 83/100 kész, eddig: Kezdő=37, Második=46, Döntetlen=0
Játék 84/100 kész, eddig: Kezdő=37, Második=47, Döntetlen=0
Játék 85/100 kész, eddig: Kezdő=38, Második=47, Döntetlen=0
Játék 86/100 kész, eddig: Kezdő=38, Második=48, Döntetlen=0
Játék 87/100 kész, eddig: Kezdő=39, Második=48, Döntetlen=0
Játék 88/100 kész, eddig: Kezdő=40, Második=48, Döntetlen=0
Játék 89/100 kész, eddig: Kezdő=40, Második=49, Döntetlen=0
Játék 90/100 kész, eddig: Kezdő=41, Második=49, Döntetlen=0
Játék 91/100 kész, eddig: Kezdő=41, Második=50, Döntetlen=0
Játék 92/100 kész, eddig: Kezdő=42, Második=50, Döntetlen=0
Játék 93/100 kész, eddig: Kezdő=42, Második=51, Döntetlen=0
Játék 94/100 kész, eddig: Kezdő=42, Második=52, Döntetlen=0
Játék 95/100 kész, eddig: Kezdő=42, Második=53, Döntetlen=0
Játék 96/100 kész, eddig: Kezdő=42, Második=54, Döntetlen=0
Játék 97/100 kész, eddig: Kezdő=42, Második=55, Döntetlen=0
Játék 98/100 kész, eddig: Kezdő=43, Második=55, Döntetlen=0
Játék 99/100 kész, eddig: Kezdő=43, Második=56, Döntetlen=0
Játék 100/100 kész, eddig: Kezdő=43, Második=57, Döntetlen=0

=== SZIMULÁCIÓ KÉSZ ===
Variáns: Felgyorsított
Lejátszott meccsek: 100
Kezdő játékos győzelmek:    43
Második játékos győzelmek:  57
Döntetlenek:                0
Kezdő aránya:    43.00%
Második aránya:  57.00%
Döntetlen:       0.00%
